MINT_ID, ASSET_ID
1,77791831262655224898773707303428582316810757132740667068095213820487118356481
2,77791831262655224898773707303428582316810757132740667068095213821586629984257
3,77791831262655224898773707303428582316810757132740667068095213822686141612033
4,77791831262655224898773707303428582316810757132740667068095213823785653239809
5,77791831262655224898773707303428582316810757132740667068095213825984676495361
6,77791831262655224898773707303428582316810757132740667068095213827084188123137
7,77791831262655224898773707303428582316810757132740667068095213828183699750913
8,77791831262655224898773707303428582316810757132740667068095213829283211378689
9,77791831262655224898773707303428582316810757132740667068095213830382723006465
10,77791831262655224898773707303428582316810757132740667068095213831482234634241
11,77791831262655224898773707303428582316810757132740667068095213832581746262017
12,77791831262655224898773707303428582316810757132740667068095213833681257889793
13,77791831262655224898773707303428582316810757132740667068095213834780769517569
14,77791831262655224898773707303428582316810757132740667068095213835880281145345
15,77791831262655224898773707303428582316810757132740667068095213836979792773121
16,77791831262655224898773707303428582316810757132740667068095213838079304400897
17,77791831262655224898773707303428582316810757132740667068095213839178816028673
18,77791831262655224898773707303428582316810757132740667068095213840278327656449
19,77791831262655224898773707303428582316810757132740667068095213841377839284225
20,77791831262655224898773707303428582316810757132740667068095213842477350912001
21,77791831262655224898773707303428582316810757132740667068095213843576862539777
22,77791831262655224898773707303428582316810757132740667068095213844676374167553
23,77791831262655224898773707303428582316810757132740667068095213845775885795329
24,77791831262655224898773707303428582316810757132740667068095213846875397423105
25,77791831262655224898773707303428582316810757132740667068095213847974909050881
26,77791831262655224898773707303428582316810757132740667068095213849074420678657
27,77791831262655224898773707303428582316810757132740667068095213850173932306433
28,77791831262655224898773707303428582316810757132740667068095213851273443934209
29,77791831262655224898773707303428582316810757132740667068095213852372955561985
30,77791831262655224898773707303428582316810757132740667068095213853472467189761
31,77791831262655224898773707303428582316810757132740667068095213854571978817537
32,77791831262655224898773707303428582316810757132740667068095213855671490445313
33,77791831262655224898773707303428582316810757132740667068095213856771002073089
34,77791831262655224898773707303428582316810757132740667068095213857870513700865
35,77791831262655224898773707303428582316810757132740667068095213858970025328641
36,77791831262655224898773707303428582316810757132740667068095213861169048584193
37,77791831262655224898773707303428582316810757132740667068095213863368071839745
38,77791831262655224898773707303428582316810757132740667068095213864467583467521
39,77791831262655224898773707303428582316810757132740667068095213865567095095297
40,77791831262655224898773707303428582316810757132740667068095213866666606723073
41,77791831262655224898773707303428582316810757132740667068095213867766118350849
42,77791831262655224898773707303428582316810757132740667068095213868865629978625
43,77791831262655224898773707303428582316810757132740667068095213869965141606401
44,77791831262655224898773707303428582316810757132740667068095213871064653234177
45,77791831262655224898773707303428582316810757132740667068095213872164164861953
46,77791831262655224898773707303428582316810757132740667068095213873263676489729
